file 	lang 	files 	blanks 	comments 	code
F:\ALIFE\cloc\2017-07-28.scv	Java	478	12087	12729	35283
F:\ALIFE\cloc\2017-07-28.scv	CSS	96	7659	2558	33644
F:\ALIFE\cloc\2017-07-28.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-07-28.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-07-28.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-07-28.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-07-28.scv	XSD	4	116	3	1279
F:\ALIFE\cloc\2017-07-28.scv	HTML	373	224	13438	67000
F:\ALIFE\cloc\2017-07-28.scv	Objective C	125	5848	5844	15520
F:\ALIFE\cloc\2017-07-28.scv	Velocity Template Language	30	248	1	1288
F:\ALIFE\cloc\2017-07-28.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-07-28.scv	SQL	49	15577	5482	53624
F:\ALIFE\cloc\2017-07-28.scv	C/C++ Header	304	3651	8105	9736
F:\ALIFE\cloc\2017-07-28.scv	XML	127	899	317	39058
F:\ALIFE\cloc\2017-07-28.scv	Javascript	45	2640	8844	15801
F:\ALIFE\cloc\2017-07-28.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-07-28.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-07-28.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-08-04-AndroidV2-30_project.scv	Java	126	2819	2640	9341
F:\ALIFE\cloc\2017-08-04-AndroidV2-30_project.scv	XML	49	403	72	2701
F:\ALIFE\cloc\2017-08-04.scv	Java	601	14820	15280	43825
F:\ALIFE\cloc\2017-08-04.scv	CSS	96	7659	2558	33644
F:\ALIFE\cloc\2017-08-04.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-08-04.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-08-04.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-08-04.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-08-04.scv	XSD	4	116	3	1279
F:\ALIFE\cloc\2017-08-04.scv	HTML	373	224	13438	67000
F:\ALIFE\cloc\2017-08-04.scv	Objective C	153	7185	6699	18901
F:\ALIFE\cloc\2017-08-04.scv	Velocity Template Language	30	248	1	1288
F:\ALIFE\cloc\2017-08-04.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-08-04.scv	SQL	50	15577	5482	53633
F:\ALIFE\cloc\2017-08-04.scv	C/C++ Header	335	4013	8412	10376
F:\ALIFE\cloc\2017-08-04.scv	XML	176	1302	389	41759
F:\ALIFE\cloc\2017-08-04.scv	Javascript	45	2640	8844	15801
F:\ALIFE\cloc\2017-08-04.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-08-04.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-08-04.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-08-11-AndroidV2-30_project.scv	Java	148	3820	3010	12984
F:\ALIFE\cloc\2017-08-11-AndroidV2-30_project.scv	XML	76	902	322	6340
F:\ALIFE\cloc\2017-08-11.scv	Java	622	15835	15731	47547
F:\ALIFE\cloc\2017-08-11.scv	CSS	93	7185	2423	31545
F:\ALIFE\cloc\2017-08-11.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-08-11.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-08-11.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-08-11.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-08-11.scv	XSD	5	145	3	1476
F:\ALIFE\cloc\2017-08-11.scv	HTML	373	224	13438	67000
F:\ALIFE\cloc\2017-08-11.scv	Objective C	175	7989	7346	21318
F:\ALIFE\cloc\2017-08-11.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-08-11.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-08-11.scv	SQL	50	15580	5482	53651
F:\ALIFE\cloc\2017-08-11.scv	C/C++ Header	357	4221	8626	10938
F:\ALIFE\cloc\2017-08-11.scv	XML	220	1801	639	72355
F:\ALIFE\cloc\2017-08-11.scv	Javascript	45	2640	8844	15801
F:\ALIFE\cloc\2017-08-11.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-08-11.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-08-11.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-08-18-AndroidV2-30_project.scv	Java	185	4430	3166	16482
F:\ALIFE\cloc\2017-08-18-AndroidV2-30_project.scv	XML	103	1109	303	7684
F:\ALIFE\cloc\2017-08-18.scv	Java	659	16471	15966	51068
F:\ALIFE\cloc\2017-08-18.scv	CSS	93	7185	2423	31545
