date 	java 	xml
2018-02-16	32815	20226
2018-01-05	28535	16292
2017-09-01	18933	9248
2018-03-30	36704	23288
2018-05-11	42151	29212
2017-10-27	22576	11658
2017-12-08	26128	15009
2018-02-23	33356	20326
2018-06-22	47274	32977
2018-08-03	47274	32828
2017-09-08	18933	9262
2018-03-16	34318	22577
2018-02-02	33000	18242
2018-04-27	40980	28975
2017-12-22	27954	16165
2018-02-09	33041	20250
2018-06-08	45139	32103
2017-11-10	22647	11659
2017-12-15	27284	15654
2018-06-15	45914	32927
2018-07-27	47274	32828
2017-11-03	22576	11660
2018-03-23	35452	22769
2018-05-04	40980	28975
2018-07-20	47259	32828
2017-08-04	9341	2701
2017-09-15	19762	9867
2018-01-26	32207	17457
2018-03-09	33634	22227
2017-08-11	12984	6340
2017-09-22	21255	10512
2018-04-20	39256	27125
2017-11-17	22463	13021
2017-10-06	22183	10827
2017-12-29	27954	16165
2018-06-01	45281	33652
2018-07-13	47615	33487
2017-08-18	16482	7684
2017-09-29	22280	10821
2018-01-12	30020	16709
2018-04-06	37036	24297
2018-05-18	44201	31874
2017-12-01	25232	14628
2018-06-29	47440	33555
2018-01-19	31168	16932
2017-10-20	22576	11657
2017-11-24	24068	13475
2017-10-13	22291	11253
2018-07-06	47677	33705
2018-03-02	32844	21547
2018-04-13	37529	25648
2018-05-25	44895	33110
2017-08-25	18403	9076
