file 	lang 	files 	blanks 	comments 	code
F:\ALIFE\clocios\2017-07-28-iOS-StresApp.scv	C/C++ Header	275	3288	7759	9001
F:\ALIFE\clocios\2017-07-28-iOS-StresApp.scv	Objective C	77	3262	3566	8808
F:\ALIFE\clocios\2017-08-04-iOS-StresApp.scv	C/C++ Header	299	3585	7997	9536
F:\ALIFE\clocios\2017-08-04-iOS-StresApp.scv	Objective C	101	4490	4278	11953
F:\ALIFE\clocios\2017-08-11-iOS-StresApp.scv	C/C++ Header	319	3768	8182	10044
F:\ALIFE\clocios\2017-08-11-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-08-11-iOS-StresApp.scv	Objective C	121	5159	4723	13890
F:\ALIFE\clocios\2017-08-18-iOS-StresApp.scv	C/C++ Header	340	3937	8371	10457
F:\ALIFE\clocios\2017-08-18-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-08-18-iOS-StresApp.scv	Objective C	142	5922	5035	16585
F:\ALIFE\clocios\2017-08-25-iOS-StresApp.scv	C/C++ Header	300	3573	8032	9883
F:\ALIFE\clocios\2017-08-25-iOS-StresApp.scv	XML	1	0	0	285
F:\ALIFE\clocios\2017-08-25-iOS-StresApp.scv	Objective C	102	4780	3015	14224
F:\ALIFE\clocios\2017-09-01-iOS-StresApp.scv	C/C++ Header	304	3638	8080	10024
F:\ALIFE\clocios\2017-09-01-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-09-01-iOS-StresApp.scv	Objective C	106	5161	3322	15331
F:\ALIFE\clocios\2017-09-08-iOS-StresApp.scv	C/C++ Header	304	3638	8084	10031
F:\ALIFE\clocios\2017-09-08-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-09-08-iOS-StresApp.scv	Objective C	106	5151	3235	15341
F:\ALIFE\clocios\2017-09-15-iOS-StresApp.scv	C/C++ Header	304	3638	8084	10031
F:\ALIFE\clocios\2017-09-15-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-09-15-iOS-StresApp.scv	Objective C	106	5151	3235	15341
F:\ALIFE\clocios\2017-09-22-iOS-StresApp.scv	C/C++ Header	304	3646	8084	10056
F:\ALIFE\clocios\2017-09-22-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-09-22-iOS-StresApp.scv	Objective C	106	5230	3342	15639
F:\ALIFE\clocios\2017-09-29-iOS-StresApp.scv	C/C++ Header	305	3654	8096	10068
F:\ALIFE\clocios\2017-09-29-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-09-29-iOS-StresApp.scv	Objective C	107	5244	3276	15688
F:\ALIFE\clocios\2017-10-06-iOS-StresApp.scv	C/C++ Header	307	3679	8119	10134
F:\ALIFE\clocios\2017-10-06-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-10-06-iOS-StresApp.scv	Objective C	109	5305	3326	16207
F:\ALIFE\clocios\2017-10-13-iOS-StresApp.scv	C/C++ Header	307	3679	8119	10134
F:\ALIFE\clocios\2017-10-13-iOS-StresApp.scv	XML	1	0	0	1
F:\ALIFE\clocios\2017-10-13-iOS-StresApp.scv	Objective C	109	5305	3326	16207
F:\ALIFE\clocios\2017-10-20-iOS-StresApp.scv	C/C++ Header	306	3721	8193	10441
F:\ALIFE\clocios\2017-10-20-iOS-StresApp.scv	XML	3	0	0	3
F:\ALIFE\clocios\2017-10-20-iOS-StresApp.scv	Objective C	108	5439	3313	16982
F:\ALIFE\clocios\2017-10-27-iOS-StresApp.scv	C/C++ Header	307	3736	8204	10499
F:\ALIFE\clocios\2017-10-27-iOS-StresApp.scv	XML	3	0	0	3
F:\ALIFE\clocios\2017-10-27-iOS-StresApp.scv	Objective C	109	5512	3361	17152
F:\ALIFE\clocios\2017-11-03-iOS-StresApp.scv	C/C++ Header	307	3736	8204	10499
F:\ALIFE\clocios\2017-11-03-iOS-StresApp.scv	XML	3	0	0	3
F:\ALIFE\clocios\2017-11-03-iOS-StresApp.scv	Objective C	109	5512	3361	17152
F:\ALIFE\clocios\2017-11-10-iOS-StresApp.scv	C/C++ Header	198	2472	6936	7449
F:\ALIFE\clocios\2017-11-10-iOS-StresApp.scv	XML	3	0	0	3
F:\ALIFE\clocios\2017-11-10-iOS-StresApp.scv	Objective C	2	35	51	123
F:\ALIFE\clocios\2017-11-17-iOS-StresApp.scv	C/C++ Header	198	2472	6936	7449
