date 	C 	XML
2018-02-16	34218	2
2018-01-05	32591	3
2017-09-01	25355	1
2018-03-30	41175	28956
2018-05-11	49153	36491
2017-10-27	27651	3
2017-12-08	30430	3
2018-02-23	34218	2
2018-06-22	54927	14215
2018-08-03	50739	14794
2017-07-28	17809	0
2017-09-08	25372	1
2018-03-16	34218	2
2018-02-02	34218	3
2018-04-27	46515	29268
2017-12-22	32144	3
2018-02-09	34218	3
2018-06-08	53756	36491
2017-11-10	7572	3
2017-12-15	31539	3
2018-06-15	54198	36491
2018-07-27	50739	14794
2017-11-03	27651	3
2018-03-23	40460	28956
2018-05-04	46781	29268
2018-07-20	50739	14794
2017-08-04	21489	0
2017-09-15	25372	1
2018-01-26	34218	3
2018-03-09	34218	2
2017-08-11	23934	1
2017-09-22	25695	1
2018-04-20	44178	29268
2017-11-17	7572	3
2017-10-06	26341	1
2017-12-29	32144	3
2018-06-01	53385	36491
2018-07-13	50738	14794
2017-08-18	27042	1
2017-09-29	25756	1
2018-01-12	33555	3
2018-04-06	41645	29268
2018-05-18	51944	36491
2017-12-01	28918	3
2018-06-29	54995	14215
2018-01-19	34218	3
2017-10-20	27423	3
2017-11-24	7572	3
2017-10-13	26341	1
2018-07-06	50739	14794
2018-03-02	34218	2
2018-04-13	42062	29268
2018-05-25	52425	36491
2017-08-25	24107	285
