teden    	fr	fr	nap	nap	ned	ned	pom	pom	port	port	wait	wait	and	and	fr	fr	nap	nap	ned	ned	pom	pom	port	port	wait	wait	ios	ios
7.7.2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.7.2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.7.2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.7.2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.8.2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.8.2017	1	1	8	8	0	0	0	0	0	0	0	0	9	9	1	1	14	14	0	0	0	0	0	0	0	0	15	15
18.8.2017	7	8	20	28	0	0	0	0	0	0	0	0	27	36	7	8	13	27	0	0	0	0	0	0	0	0	20	35
25.8.2017	8	16	30	58	0	0	0	0	0	0	0	0	38	74	11	19	42	69	0	0	0	0	0	0	0	0	53	88
1.9.2017	0	16	13	71	0	0	0	0	0	0	0	0	13	87	3	22	24	93	0	0	0	0	0	0	0	0	27	115
8.9.2017	0	16	0	71	0	0	0	0	0	0	0	0	0	87	0	22	0	93	0	0	0	0	0	0	0	0	0	115
15.9.2017	0	16	10	81	0	0	0	0	0	0	0	0	10	97	0	22	0	93	0	0	0	0	0	0	0	0	0	115
22.9.2017	0	16	18	99	1	1	0	0	0	0	0	0	19	116	0	22	5	98	1	1	0	0	0	0	0	0	6	121
29.9.2017	3	19	11	110	1	2	0	0	0	0	0	0	15	131	1	23	0	98	0	1	0	0	0	0	0	0	1	122
6.10.2017	1	20	9	119	0	2	0	0	0	0	0	0	10	141	2	25	19	117	0	1	0	0	0	0	0	0	21	143
13.10.2017	0	20	0	119	0	2	0	0	0	0	0	0	0	141	0	25	0	117	0	1	0	0	0	0	0	0	0	143
20.10.2017	0	20	4	123	0	2	0	0	0	0	0	0	4	145	0	25	0	117	0	1	0	0	0	0	0	0	0	143
27.10.2017	0	20	0	123	0	2	0	0	0	0	0	0	0	145	0	25	0	117	0	1	0	0	0	0	0	0	0	143
3.11.2017	0	20	0	123	0	2	0	0	0	0	0	0	0	145	0	25	0	117	0	1	0	0	0	0	0	0	0	143
10.11.2017	0	20	0	123	0	2	0	0	0	0	0	0	0	145	0	25	0	117	0	1	0	0	0	0	0	0	0	143
17.11.2017	1	21	1	124	0	2	0	0	0	0	0	0	2	147	4	29	37	154	0	1	1	1	0	0	0	0	42	185
24.11.2017	0	21	1	125	0	2	0	0	0	0	0	0	1	148	0	29	6	160	0	1	0	1	0	0	0	0	6	191
1.12.2017	0	21	0	125	0	2	0	0	0	0	0	0	0	148	0	29	0	160	0	1	0	1	0	0	0	0	0	191
8.12.2017	1	22	14	139	0	2	1	1	0	0	0	0	16	164	0	29	0	160	0	1	0	1	0	0	0	0	0	191
15.12.2017	1	23	6	145	0	2	0	1	0	0	0	0	7	171	1	30	8	168	0	1	0	1	0	0	0	0	9	200
22.12.2017	0	23	0	145	0	2	0	1	0	0	0	0	0	171	0	30	1	169	0	1	0	1	0	0	0	0	1	201
29.12.2017	0	23	0	145	0	2	0	1	0	0	0	0	0	171	0	30	0	169	0	1	0	1	0	0	0	0	0	201
5.1.2018	0	23	0	145	0	2	0	1	0	0	0	0	0	171	0	30	0	169	0	1	0	1	0	0	0	0	0	201
12.1.2018	0	23	2	147	1	3	3	4	0	0	0	0	6	177	0	30	5	174	3	4	7	8	0	0	0	0	15	216
19.1.2018	0	23	0	147	0	3	3	7	0	0	0	0	3	180	0	30	2	176	0	4	0	8	0	0	0	0	2	218
26.1.2018	3	26	0	147	2	5	3	10	0	0	0	0	8	188	4	34	1	177	2	6	3	11	0	0	0	0	10	228
2.2.2018	4	30	17	164	9	14	6	16	0	0	0	0	36	224	0	34	5	182	0	6	3	14	0	0	0	0	8	236
9.2.2018	0	30	10	174	12	26	6	22	3	3	1	1	32	256	0	34	0	182	1	7	0	14	0	0	0	0	1	237
16.2.2018	0	30	9	183	1	27	4	26	0	3	0	1	14	270	0	34	0	182	0	7	0	14	0	0	0	0	0	237
23.2.2018	0	30	1	184	1	28	0	26	0	3	0	1	2	272	0	34	4	186	10	17	5	19	1	1	0	0	20	257
2.3.2018	0	30	2	186	0	28	0	26	0	3	0	1	2	274	0	34	8	194	10	27	9	28	0	1	0	0	27	284
9.3.2018	0	30	2	188	1	29	0	26	0	3	0	1	3	277	1	35	10	204	11	38	6	34	0	1	1	1	29	313
16.3.2018	0	30	2	190	2	31	0	26	1	4	0	1	5	282	0	35	6	210	4	42	3	37	1	2	0	1	14	327
23.3.2018	0	30	4	194	1	32	4	30	0	4	0	1	9	291	1	36	0	210	0	42	1	38	0	2	0	1	2	329
30.3.2018	0	30	2	196	2	34	2	32	0	4	0	1	6	297	0	36	5	215	3	45	0	38	0	2	0	1	8	337
6.4.2018	0	30	1	197	0	34	0	32	0	4	0	1	1	298	1	37	19	234	8	53	1	39	1	3	0	1	30	367
13.4.2018	1	31	2	199	4	38	2	34	0	4	0	1	9	307	0	37	31	265	8	61	13	52	4	7	0	1	56	423
20.4.2018	0	31	4	203	2	40	3	37	0	4	0	1	9	316	0	37	9	274	3	64	6	58	1	8	0	1	19	442
27.4.2018	0	31	3	206	5	45	10	47	0	4	0	1	18	334	0	37	4	278	6	70	13	71	0	8	0	1	23	465
4.5.2018	0	31	0	206	0	45	0	47	0	4	0	1	0	334	0	37	0	278	0	70	0	71	0	8	0	1	0	465
11.5.2018	0	31	3	209	0	45	4	51	0	4	0	1	7	341	0	37	7	285	2	72	3	74	0	8	0	1	12	477
18.5.2018	0	31	7	216	5	50	0	51	0	4	0	1	12	353	0	37	23	308	7	79	6	80	0	8	0	1	36	513
25.5.2018	1	32	3	219	1	51	0	51	0	4	0	1	5	358	2	39	14	322	9	88	10	90	0	8	0	1	35	548
1.6.2018	0	32	11	230	3	54	4	55	0	4	0	1	18	376	1	40	19	341	5	93	7	97	0	8	0	1	32	580
8.6.2018	0	32	1	231	1	55	0	55	0	4	0	1	2	378	0	40	21	362	2	95	5	102	0	8	0	1	28	608
15.6.2018	0	32	4	235	3	58	0	55	0	4	0	1	7	385	10	50	38	400	14	109	12	114	0	8	0	1	74	682
22.6.2018	0	32	1	236	0	58	0	55	0	4	0	1	1	386	1	51	4	404	3	112	1	115	1	9	0	1	10	692
29.6.2018	0	32	7	243	0	58	6	61	0	4	0	1	13	399	0	51	0	404	0	112	0	115	0	9	0	1	0	692
6.7.2018	0	32	20	263	4	62	8	69	3	7	0	1	35	434	0	51	0	404	0	112	0	115	0	9	0	1	0	692
13.7.2018	0	32	20	283	5	67	11	80	2	9	0	1	38	472	0	51	0	404	0	112	0	115	0	9	0	1	0	692
20.7.2018	0	32	2	285	1	68	2	82	0	9	0	1	5	477	0	51	0	404	0	112	0	115	0	9	0	1	0	692
27.7.2018	0	32	0	285	0	68	0	82	0	9	0	1	0	477	0	51	0	404	0	112	0	115	0	9	0	1	0	692
3.8.2018	0	32	0	285	0	68	0	82	0	9	0	1	0	477	0	51	0	404	0	112	0	115	0	9	0	1	0	692
Feature Request iOS:51																												
Napaka iOS:404																												
Nedoslednost iOS:112																												
Pomanjkljivost iOS:115																												
Portal-Odvisnost iOS:9																												
WaitingOnBoard iOS:1																												
iOS:692																												
Feature Request And:32																												
Napaka And:285																												
Nedoslednost And:68																												
Pomanjkljivost And:82																												
Portal-Odvisnost And:9																												
WaitingOnBoard And:1																												
And:477																												
