file	pckfgs	classes	methods
F:\ALIFE\javancss\out\2017-08-04-AndroidV2-30_project.txt	33	125	1006
F:\ALIFE\javancss\out\2017-08-11-AndroidV2-30_project.txt	42	146	1285
F:\ALIFE\javancss\out\2017-08-18-AndroidV2-30_project.txt	52	183	1547
F:\ALIFE\javancss\out\2017-08-25-AndroidV2-30_project.txt	52	192	1677
F:\ALIFE\javancss\out\2017-09-01-AndroidV2-30_project.txt	52	189	1705
F:\ALIFE\javancss\out\2017-09-08-AndroidV2-30_project.txt	52	189	1705
F:\ALIFE\javancss\out\2017-09-15-AndroidV2-30_project.txt	52	195	1799
F:\ALIFE\javancss\out\2017-09-22-AndroidV2-30_project.txt	52	205	1927
F:\ALIFE\javancss\out\2017-09-29-AndroidV2-30_project.txt	52	206	1971
F:\ALIFE\javancss\out\2017-10-06-AndroidV2-30_project.txt	51	206	1977
F:\ALIFE\javancss\out\2017-10-13-AndroidV2-30_project.txt	51	207	1977
F:\ALIFE\javancss\out\2017-10-20-AndroidV2-30_project.txt	51	207	2004
F:\ALIFE\javancss\out\2017-10-27-AndroidV2-30_project.txt	51	207	2004
F:\ALIFE\javancss\out\2017-11-03-AndroidV2-30_project.txt	51	207	2004
F:\ALIFE\javancss\out\2017-11-10-AndroidV2-30_project.txt	51	208	2013
F:\ALIFE\javancss\out\2017-11-17-AndroidV2-30_project.txt	51	220	2094
F:\ALIFE\javancss\out\2017-11-24-AndroidV2-30_project.txt	54	238	2293
F:\ALIFE\javancss\out\2017-12-01-AndroidV2-30_project.txt	54	241	2362
F:\ALIFE\javancss\out\2017-12-08-AndroidV2-30_project.txt	54	249	2422
F:\ALIFE\javancss\out\2017-12-15-AndroidV2-30_project.txt	54	260	2574
F:\ALIFE\javancss\out\2017-12-22-AndroidV2-30_project.txt	58	264	2625
F:\ALIFE\javancss\out\2017-12-29-AndroidV2-30_project.txt	58	264	2625
F:\ALIFE\javancss\out\2018-01-05-AndroidV2-30_project.txt	58	267	2663
F:\ALIFE\javancss\out\2018-01-12-AndroidV2-30_project.txt	59	272	2759
F:\ALIFE\javancss\out\2018-01-19-AndroidV2-30_project.txt	59	274	2848
F:\ALIFE\javancss\out\2018-01-26-AndroidV2-30_project.txt	60	277	2897
F:\ALIFE\javancss\out\2018-02-02-AndroidV2-30_project.txt	62	284	2931
F:\ALIFE\javancss\out\2018-02-09-AndroidV2-30_project.txt	62	283	2923
F:\ALIFE\javancss\out\2018-02-16-AndroidV2-30_project.txt	62	279	2871
F:\ALIFE\javancss\out\2018-02-23-AndroidV2-30_project.txt	64	283	2921
F:\ALIFE\javancss\out\2018-03-02-AndroidV2-30_project.txt	64	282	2897
F:\ALIFE\javancss\out\2018-03-09-AndroidV2-30_project.txt	65	290	2961
F:\ALIFE\javancss\out\2018-03-16-AndroidV2-30_project.txt	65	292	3003
F:\ALIFE\javancss\out\2018-03-23-AndroidV2-30_project.txt	66	301	3074
F:\ALIFE\javancss\out\2018-03-30-AndroidV2-30_project.txt	68	312	3186
F:\ALIFE\javancss\out\2018-04-06-AndroidV2-30_project.txt	67	316	3140
F:\ALIFE\javancss\out\2018-04-06-AndroidV2-30_project_alpha.txt	6	14	92
F:\ALIFE\javancss\out\2018-04-06-AndroidV2-31_android_full.txt	2	1	0
F:\ALIFE\javancss\out\2018-04-06-AndroidV2-31_android_lite.txt	2	4	9
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-30_project.txt	67	311	3096
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-30_project_alpha.txt	6	16	111
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-31_android_full.txt	1	3	7
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-31_android_lite.txt	3	7	22
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-32_blackberry_full.txt	1	2	4
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-32_blackberry_lite.txt	3	6	19
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-34_library_common_and.txt	1	3	14
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-04-13-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-30_project.txt	62	300	3047
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-30_project_alpha.txt	13	36	263
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-31_android_full.txt	1	3	7
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-31_android_lite.txt	3	7	22
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-32_blackberry_full.txt	1	2	4
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-32_blackberry_lite.txt	3	6	19
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-34_library_common_and.txt	10	15	84
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-04-20-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-30_project.txt	62	301	3070
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-30_project_alpha.txt	20	50	360
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-31_android_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-32_blackberry_full.txt	1	3	5
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-32_blackberry_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-34_library_common_and.txt	10	15	84
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-04-27-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-30_project.txt	62	301	3070
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-30_project_alpha.txt	20	50	360
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-31_android_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-32_blackberry_full.txt	1	3	5
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-32_blackberry_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-34_library_common_and.txt	10	15	84
