file	NTypes	NAbstractTypes	NbLinesOfCodeInAsm	NbLinesOfCommentInAsm
/Users/luka/ALIFE/out_ios2017-07-28-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	121	9	3410	2433
/Users/luka/ALIFE/out_ios2017-08-04-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	161	10	4843	2904
/Users/luka/ALIFE/out_ios2017-08-11-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	193	12	5564	3116
/Users/luka/ALIFE/out_ios2017-08-18-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	223	14	6930	3260
/Users/luka/ALIFE/out_ios2017-08-25-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	157	10	5883	2014
/Users/luka/ALIFE/out_ios2017-09-01-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	162	10	6267	2303
/Users/luka/ALIFE/out_ios2017-09-08-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	164	11	6460	2244
/Users/luka/ALIFE/out_ios2017-09-15-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	164	11	6460	2244
/Users/luka/ALIFE/out_ios2017-09-22-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	164	11	6562	2352
/Users/luka/ALIFE/out_ios2017-09-29-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	164	11	6559	2293
/Users/luka/ALIFE/out_ios2017-10-06-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	165	11	7010	2409
/Users/luka/ALIFE/out_ios2017-10-13-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	165	11	7010	2409
/Users/luka/ALIFE/out_ios2017-10-20-StresApp-StresApp.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	157	12	7327	2482
